customer_id,name,region,signup_date,segment,acquisition_channel
1,Jay Ramirez,Indiana,2026-07-29,occasional,google_ads
2,Brandon Davis,Minnesota,2026-07-13,one_time,google_ads
3,Andrew Stevens,Delaware,2026-05-12,loyal,email
4,Juan Calderon,South Carolina,2026-09-13,occasional,organic
5,Laura Bush,Arizona,2026-08-29,one_time,google_ads
6,Dylan Miller,Iowa,2026-06-03,one_time,instagram_ads
7,Donald Reid,Mississippi,2026-08-22,occasional,organic
8,Daniel Adams,Utah,2025-11-22,one_time,google_ads
9,Mark Ferguson,Kansas,2026-05-29,one_time,referral
10,Devin Schaefer,Vermont,2025-11-22,occasional,instagram_ads
11,Frederick Tate,Arkansas,2026-04-24,occasional,instagram_ads
12,Renee Morales,California,2025-12-17,occasional,referral
13,Latoya Robbins,Indiana,2025-12-10,one_time,referral
14,Dr. Marvin Thomas Jr.,West Virginia,2026-06-01,occasional,organic
15,Nicole Patterson,Pennsylvania,2026-04-26,loyal,google_ads
16,Zachary Taylor,New York,2026-02-22,one_time,google_ads
17,Shannon Hernandez,Hawaii,2025-10-25,occasional,instagram_ads
18,Linda Cruz,Rhode Island,2026-07-24,one_time,organic
19,Tricia Valencia,Alabama,2026-03-20,loyal,email
20,Melanie Herrera,Louisiana,2026-06-11,one_time,referral
21,Ashley Graham,New Jersey,2026-07-15,one_time,instagram_ads
22,Sherri Baker,North Carolina,2025-09-21,occasional,referral
23,Thomas Harrell,Maryland,2026-07-12,occasional,referral
24,Lisa Hernandez,Wisconsin,2026-08-12,one_time,email
25,Paula Moreno,Alabama,2025-11-21,one_time,referral
26,Alec Hickman,Maryland,2026-05-10,one_time,instagram_ads
27,Shawn Arroyo,Colorado,2025-12-21,one_time,email
28,Mr. Philip Cannon,Florida,2026-07-01,one_time,google_ads
29,Joshua Baker,Rhode Island,2026-06-03,occasional,referral
30,Tanya Campos,Vermont,2026-03-03,occasional,instagram_ads
31,Jennifer Powers,Mississippi,2025-12-07,occasional,google_ads
32,Jocelyn Wright,California,2026-03-09,loyal,referral
